student_id,utility_type,alpha,beta,endowment_a,endowment_b
1,CD,0.29,0.48,5,5
2,CD,0.26,0.24,4,6
3,LINEAR,0.38,0.32,2,8
4,LINEAR,0.49,0.53,10,0
5,CD,0.56,0.65,5,5
6,LINEAR,0.37,0.46,6,4
7,LINEAR,0.47,0.37,0,10
8,MIN,0.68,0.29,2,8
9,MIN,0.49,0.26,6,4
10,MIN,0.6,0.77,6,4
11,LINEAR,0.74,0.5,5,5
12,MIN,0.46,0.79,0,10
13,MIN,0.63,0.32,7,3
14,CD,0.52,0.3,9,1
15,LINEAR,0.76,0.74,5,5
16,MIN,0.77,0.32,6,4
17,LINEAR,0.51,0.65,9,1
18,CD,0.43,0.39,7,3
19,CD,0.72,0.41,3,7
20,CD,0.55,0.39,6,4
21,MIN,0.69,0.51,0,10
22,CD,0.61,0.25,0,10
23,MIN,0.39,0.37,6,4
24,LINEAR,0.74,0.29,3,7
25,LINEAR,0.71,0.74,4,6
26,MIN,0.63,0.42,3,7
27,LINEAR,0.21,0.37,10,0
28,CD,0.46,0.26,4,6
29,MIN,0.6,0.55,6,4
30,CD,0.35,0.76,10,0
31,LINEAR,0.2,0.58,1,9
32,MIN,0.21,0.68,3,7
33,LINEAR,0.62,0.7,2,8
34,CD,0.38,0.4,6,4
35,MIN,0.22,0.21,8,2
36,CD,0.26,0.43,1,9
37,CD,0.42,0.34,4,6
38,LINEAR,0.33,0.23,6,4
39,MIN,0.54,0.63,2,8
40,LINEAR,0.76,0.6,4,6
41,LINEAR,0.21,0.6,2,8
42,LINEAR,0.8,0.49,4,6
43,CD,0.31,0.52,8,2
44,CD,0.34,0.78,7,3
45,CD,0.75,0.45,2,8
46,MIN,0.57,0.53,0,10
47,CD,0.27,0.27,5,5
48,CD,0.75,0.32,4,6
49,LINEAR,0.71,0.66,10,0
50,MIN,0.33,0.54,1,9
